channel,message_id,subscribers,channel_type,published_at,checkpoint_min,measured_at,actual_age_min,views,reactions,forwards,source
eghtesadonline,354015,75239,economy,2026-08-01T12:50:00+00:00,30,2026-08-01T13:20:21.130866+00:00,30.21,2129,7,4,telegram
eghtesadonline,354015,75239,economy,2026-08-01T12:50:00+00:00,1440,2026-08-02T12:51:49.042004+00:00,1440.81,7051,17,6,telegram
digiato,110964,111085,technology,2026-08-01T12:50:03+00:00,5,2026-08-01T12:55:28.439533+00:00,5.39,725,20,6,telegram
digiato,110964,111085,technology,2026-08-01T12:50:03+00:00,10,2026-08-01T13:00:42.007677+00:00,10.62,1159,32,7,telegram
digiato,110964,111085,technology,2026-08-01T12:50:03+00:00,20,2026-08-01T13:11:07.734815+00:00,21.05,1634,44,9,telegram
digiato,110964,111085,technology,2026-08-01T12:50:03+00:00,30,2026-08-01T13:20:14.538885+00:00,30.16,1944,51,11,telegram
digiato,110964,111085,technology,2026-08-01T12:50:03+00:00,1440,2026-08-02T12:51:46.323874+00:00,1440.76,8071,126,23,telegram
tweetychannel,409207,775951,social_entertainment,2026-08-01T12:50:41+00:00,5,2026-08-01T12:56:57.556156+00:00,6.07,2041,76,2,telegram
tweetychannel,409207,775951,social_entertainment,2026-08-01T12:50:41+00:00,10,2026-08-01T13:02:10.686608+00:00,11.28,3047,110,2,telegram
tweetychannel,409207,775951,social_entertainment,2026-08-01T12:50:41+00:00,20,2026-08-01T13:11:18.358101+00:00,20.41,5066,158,36,telegram
tweetychannel,409207,775951,social_entertainment,2026-08-01T12:50:41+00:00,30,2026-08-01T13:21:43.813016+00:00,30.84,8116,196,36,telegram
tweetychannel,409207,775951,social_entertainment,2026-08-01T12:50:41+00:00,1440,2026-08-02T12:51:58.623361+00:00,1440.13,21500,411,89,telegram
footballiapp,492978,49781,sport,2026-08-01T12:52:15+00:00,5,2026-08-01T12:58:08.283450+00:00,5.8,229,3,5,telegram
footballiapp,492978,49781,sport,2026-08-01T12:52:15+00:00,10,2026-08-01T13:03:21.236378+00:00,11.02,353,3,5,telegram
footballiapp,492978,49781,sport,2026-08-01T12:52:15+00:00,20,2026-08-01T13:12:28.929240+00:00,20.15,509,4,5,telegram
footballiapp,492978,49781,sport,2026-08-01T12:52:15+00:00,30,2026-08-01T13:22:54.296769+00:00,30.58,602,4,5,telegram
footballiapp,492978,49781,sport,2026-08-01T12:52:15+00:00,1440,2026-08-02T13:22:58.835241+00:00,1470.7,1829,10,8,telegram
footballiapp,492979,49781,sport,2026-08-01T12:55:19+00:00,5,2026-08-01T13:00:44.994376+00:00,5.35,259,6,5,telegram
footballiapp,492979,49781,sport,2026-08-01T12:55:19+00:00,10,2026-08-01T13:05:58.067724+00:00,10.57,386,11,6,telegram
footballiapp,492979,49781,sport,2026-08-01T12:55:19+00:00,20,2026-08-01T13:16:23.403037+00:00,20.99,571,16,6,telegram
footballiapp,492979,49781,sport,2026-08-01T12:55:19+00:00,30,2026-08-01T13:25:30.620558+00:00,30.11,666,21,7,telegram
footballiapp,492979,49781,sport,2026-08-01T12:55:19+00:00,1440,2026-08-02T13:23:00.221478+00:00,1467.63,2005,36,13,telegram
thezoomit,98186,129324,technology,2026-08-01T12:58:08+00:00,5,2026-08-01T13:03:16.673926+00:00,5.14,753,6,3,telegram
thezoomit,98186,129324,technology,2026-08-01T12:58:08+00:00,10,2026-08-01T13:08:30.158566+00:00,10.36,1154,8,4,telegram
thezoomit,98186,129324,technology,2026-08-01T12:58:08+00:00,20,2026-08-01T13:18:54.810885+00:00,20.78,1772,11,5,telegram
thezoomit,98186,129324,technology,2026-08-01T12:58:08+00:00,30,2026-08-01T13:29:21.283823+00:00,31.22,2203,15,5,telegram
thezoomit,98186,129324,technology,2026-08-01T12:58:08+00:00,1440,2026-08-02T13:23:01.749441+00:00,1464.82,11085,43,18,telegram
eghtesadonline,354016,75239,economy,2026-08-01T13:01:15+00:00,5,2026-08-01T13:07:19.481038+00:00,5.94,588,24,10,telegram
eghtesadonline,354016,75239,economy,2026-08-01T13:01:15+00:00,10,2026-08-01T13:12:31.887531+00:00,11.15,956,34,11,telegram
eghtesadonline,354016,75239,economy,2026-08-01T13:01:15+00:00,20,2026-08-01T13:21:39.410211+00:00,20.27,1453,49,14,telegram
eghtesadonline,354016,75239,economy,2026-08-01T13:01:15+00:00,30,2026-08-01T13:32:05.170871+00:00,30.7,1976,62,16,telegram
eghtesadonline,354016,75239,economy,2026-08-01T13:01:15+00:00,1440,2026-08-02T13:23:03.287802+00:00,1461.7,7407,115,28,telegram
aa_persian,127781,7934,international_news,2026-08-01T13:01:17+00:00,5,2026-08-01T13:07:27.077743+00:00,5.9,35,0,0,telegram
aa_persian,127781,7934,international_news,2026-08-01T13:01:17+00:00,10,2026-08-01T13:12:39.267232+00:00,11.12,50,0,0,telegram
aa_persian,127781,7934,international_news,2026-08-01T13:01:17+00:00,20,2026-08-01T13:21:46.914959+00:00,20.24,73,0,0,telegram
aa_persian,127781,7934,international_news,2026-08-01T13:01:17+00:00,30,2026-08-01T13:32:12.648259+00:00,30.67,97,0,1,telegram
